expt #,type,leaving group,temperature (degC),time (mins),morpholine eq,base eq,yield (%),productivity (g/h),cost ($/mol)
1,initial,Cl,67,5.4,1.005,1.046,88.2,0.993,396
2,initial,Cl,104,6.3,1.186,1.189,96.9,0.934,403
3,initial,F,88,8.3,1.121,1.142,99.5,0.728,605
4,initial,F,56,9.4,1.03,1.001,99.5,0.643,580
5,initial,Br,117,3.2,1.057,1.109,95,1.804,481
6,initial,F,90,3.3,1.08,1.051,98,1.805,601
7,initial,Cl,76,7.1,1.149,1.076,95.9,0.821,392
8,initial,Br,48,2,1.151,1.17,84.3,2.563,566
9,initial,Br,108,4.5,1.054,1.062,95.7,1.293,474
10,refine,Br,113,1,1.054,1.113,91.9,5.586,497
11,refine,Br,90,1,1,1.09,85.1,5.173,524
12,refine,Cl,42,1,1.097,1.18,62.2,3.779,602
13,refine,Cl,120,10,1.052,1.2,97.5,0.592,378
14,refine,Br,120,1,1.2,1.046,95.3,5.791,501
15,refine,Br,106,7.6,1.13,1.047,98,0.784,475
16,refine,Cl,120,2.1,1.113,1.185,95.1,2.753,397
17,refine,Br,120,1,1,1,89.8,5.455,490
18,refine,Cl,89,1.1,1.101,1.101,86.3,4.769,428
19,refine,Cl,116,1.1,1.052,1.17,90.3,4.988,405
20,refine,Cl,75,1,1.139,1.133,82.5,5.012,459
21,refine,F,44,1.7,1.056,1.183,97.9,3.498,607
22,refine,Br,116,9.9,1.156,1.099,97.5,0.598,486
23,refine,Cl,120,1,1.169,1.058,93.2,5.664,406
24,refine,F,120,1,1.098,1,98.3,5.975,598
25,refine,Cl,117,1.1,1.064,1.011,89.8,4.961,397
26,refine,F,120,1,1.179,1.2,97.8,5.945,630
27,refine,Cl,120,1,1.171,1.2,93.8,5.698,414
28,refine,F,120,1,1.2,1.007,98.1,5.961,618
29,refine,F,108,9.8,1.089,1.094,99.7,0.618,595
30,refine,F,120,1,1.091,1,98.3,5.974,597
